"phecode"	"case_count"	"prev"	"w"
"272.13"	5337	0.245933367125939	0.609182544154409
"272.14"	63	0.00290309202340906	2.53713919750441
"272.9"	176	0.00811022533523801	2.09096707914385
"274"	1626	0.0749274226994148	1.12535920569995
"274.1"	1488	0.0685682687433759	1.16387681574814
"274.11"	540	0.0248836459149348	1.60408598713503
"274.2"	181	0.00834062946408	2.07880117208881
"274.21"	167	0.00769549790332243	2.11376327581041
"275"	2656	0.122390673240864	0.912251676262016
"275.1"	179	0.0082484678125432	2.0836267159781
"275.11"	35	0.00161282890189392	2.79241170260772
"275.2"	13	0.000599050734989171	3.22253639465116
"275.3"	959	0.0441915119118935	1.35466113978733
"275.5"	1543	0.0711027141606378	1.14811382089485
"275.51"	756	0.0348371042809087	1.45795795145679
"275.53"	696	0.0320722547348049	1.49387050734743
"275.6"	631	0.029077001059859	1.53645038771386
"276"	8177	0.376802912308189	0.42388574920589
"276.1"	6321	0.291276899682042	0.535693956630234
"276.11"	444	0.0204598866411686	1.68909677684338
"276.12"	2135	0.0983825630155292	1.00708186759695
"276.13"	2017	0.0929450255748583	1.03177384874523
"276.14"	4018	0.185152757937422	0.732469814545766
"276.4"	1761	0.0811483341781485	1.09072039099072
"276.41"	1525	0.0702732592968066	1.15320990327519
"276.42"	368	0.0169577438827704	1.77063192828448
"276.5"	4352	0.200543753744067	0.697790860267873
"276.6"	1592	0.0733606746232893	1.13453668355635
"276.8"	59	0.00271876872033547	2.56562773531585
"277"	240	0.0110593981844155	1.95626850524639
"277.1"	21	0.000967697341136353	3.01426045222408
"277.2"	42	0.00193539468227271	2.7132304565601
"277.4"	91	0.0041933551449242	2.3774383546369
"277.5"	209	0.00963089258559513	2.01633346084694
"277.51"	122	0.00562186074374453	2.25011991628325
"277.6"	14	0.000645131560757569	3.19035171127976
"277.7"	308	0.0141928943366665	1.84792903045755
"277.8"	4	0.000184323303073591	3.73441975563003
"278"	4344	0.20017510713792	0.698589930377206
"278.1"	3478	0.160269112022487	0.795150169291302
"278.11"	1459	0.0672319247960923	1.17242445506454
"278.3"	154	0.00709644716833326	2.14895902612153
"278.4"	948	0.0436846228284411	1.35967140961993
"279"	1407	0.0648357218561357	1.18818564952325
"279.1"	1197	0.0551587484447721	1.25838559655159
"279.11"	93	0.00428551679646099	2.36799679840406
"279.2"	95	0.00437767844799779	2.35875614166915
"279.7"	619	0.0285240311506382	1.54478909793788
"279.8"	65	0.00299525367494586	2.52356639031514
"280"	2419	0.111469517533754	0.952843878596117
"280.1"	1860	0.0857103359292199	1.06696680274008
"280.2"	1001	0.0461269065941662	1.33604566947868
"281"	843	0.0388461361227593	1.41065217233325
"281.1"	584	0.0269112022487443	1.5700668998456
"281.11"	309	0.0142389751624349	1.84652126753316
"281.12"	394	0.0181558453527487	1.74098352513242
"281.13"	18	0.00082945486383116	3.08120724185469
"281.9"	284	0.013086954518225	1.88316140691096
"282"	236	0.0108750748813419	1.96356774398789
"282.5"	20	0.000921616515367955	3.03544975129401
"282.8"	22	0.00101377816690475	2.99405706613579
"282.9"	197	0.00907792267637436	2.0420135207964
"283"	196	0.00903184185060596	2.04422367560152
"283.1"	74	0.00340998110686143	2.46724802722702
"283.2"	81	0.00373254688724022	2.42799472807935
"283.21"	22	0.00101377816690475	2.99405706613579
"284"	585	0.0269572830745127	1.56932388087582
"284.1"	383	0.0176489562692963	1.75328097298937
"284.2"	21	0.000967697341136353	3.01426045222408
"285"	7760	0.357587207962767	0.446618025699808
"285.1"	2925	0.134786415372563	0.870353876539797
"285.2"	2013	0.0927607022717847	1.03263597206934
"285.21"	738	0.0340076494170776	1.46842338513495
"285.22"	823	0.0379245196073914	1.42107991174573
"285.3"	45	0.0020736371595779	2.68326723318265
"285.8"	39	0.00179715220496751	2.7454151399315
"286"	2320	0.106907515782683	0.970991762067096
"286.1"	134	0.0061748306529653	2.20937494859319
"286.11"	25	0.00115202064420994	2.93853973828596
"286.12"	64	0.00294917284917746	2.53029977297411
"286.13"	43	0.0019814755080411	2.70301129137841
"286.2"	3267	0.150546057785356	0.822330612482559
"286.3"	35	0.00161282890189392	2.79241170260772
"286.4"	250	0.0115202064420994	1.93853973828596
"286.5"	467	0.0215197456338418	1.66716286639188
"286.6"	100	0.00460808257683978	2.336479746958
"286.7"	1360	0.062669923045021	1.20294083858778
"286.8"	284	0.013086954518225	1.88316140691096
"286.81"	228	0.0105064282751947	1.97854489995754
"286.9"	660	0.0304133450071425	1.51693581141613
"287"	2143	0.0987512096216764	1.00545757591617
"287.1"	221	0.0101838624948159	1.99208747327289
"287.2"	34	0.00156674807612552	2.80500082991574
"287.3"	1910	0.0880143772176397	1.05544637971027
"287.31"	237	0.0109211557071103	1.96173140094789
"287.32"	439	0.0202294825123266	1.69401522671587
"287.4"	72	0.00331781945532464	2.47914725052673
"288"	3107	0.143173125662412	0.844138493703022
"288.1"	1217	0.0560803649601401	1.25118916872793
"288.11"	945	0.0435463803511359	1.36104793844873
"288.2"	2095	0.0965393299847933	1.01529571965568
"288.3"	159	0.00732685129717525	2.13508262263754
"289"	596	0.0274641721579651	1.56123348721776
"289.1"	3	0.000138242477305193	3.85935849223833
